"Rank","Name","Domestic_Box_Office","Movies","Average"
495,"Joe Carnahan",184065481,13,14158883
496,"Paul Mazursky",183464162,10,18346416
497,"Sam Wrench",182896092,7,26128013
498,"Kirk Jones",182123214,5,36424643
499,"Andrzej Bartkowiak",179344264,7,25620609
500,"Peter Faiman",179074528,2,89537264
501,"William Wyler",178807416,13,13754417
502,"Scott Hicks",178750512,9,19861168
503,"Marcus Nispel",177100776,6,29516796
504,"Olivier Megaton",176520141,4,44130035
505,"Michael Gracey",176323822,3,58774607
506,"Travis Knight",175218677,5,35043735
507,"Kent Seki",175003033,1,175003033
508,"Parker Finn",174947634,2,87473817
509,"Cary Joji Fukunaga",174761109,5,34952222
510,"Phyllida Lloyd",174505524,3,58168508
511,"Espen Sandberg",174076286,4,43519072
512,"Sam Taylor-Johnson",173790761,5,34758152
513,"Steve Barron",173736935,7,24819562
514,"Marc Lawrence",173507594,5,34701519
515,"Colin Higgins",172992137,2,86496069
516,"Roman Polanski",172537280,21,8216061
517,"Nick Park",172132008,9,19125779
518,"Kevin Rodney Sullivan",171659244,4,42914811
519,"Sam Fell",171545868,4,42886467
520,"James McTeigue",171482780,5,34296556
521,"Peter Hewitt",171351512,8,21418939
522,"Chirs Buck",171091819,1,171091819
523,"Chloé Zhao",171023736,5,34204747
524,"Rod Daniel",169961188,5,33992238
525,"Paul Thomas Anderson",169891993,10,16989199
526,"Mike Gabriel",169511234,2,84755617
527,"Jordan Vogt-Roberts",169368312,3,56456104
528,"David Twohy",169109764,8,21138721
529,"Richard Fleischer",168749903,18,9374995
530,"Jay Russell",168258163,6,28043027
531,"Gregory Hoblit",168153921,5,33630784
532,"Philip Kaufman",167833444,11,15257586
533,"Robert Stevenson",167654138,7,23950591
534,"Mikael Hafstrom",166971453,9,18552384
535,"Mark Robson",166843366,9,18538152
536,"Dwight H. Little",166755302,12,13896275
537,"Jay Chandrasekhar",166586297,7,23798042
538,"Robert Eggers",165847154,6,27641192
539,"Stephen Chbosky",165168403,5,33033681
540,"Lee Daniels",164875819,6,27479303
541,"Glenn Ficarra",163334953,6,27222492
542,"John Requa",163334953,6,27222492
543,"Paul Tibbitt",162994032,1,162994032
544,"Michel Gondry",162316276,15,10821085
545,"Peter Bogdanovich",161769547,15,10784636
546,"Toni Myers",161721860,3,53907287
547,"Bibo Bergeron",161412000,2,80706000
548,"Michael Thurmeier",161321843,1,161321843
549,"Roger Kumble",161319821,9,17924425
550,"James Wong",160668896,4,40167224
551,"Alex Garland",160301138,5,32060228
552,"Jeff Wadlow",159556539,10,15955654
553,"Stuart Baird",157767204,3,52589068
554,"Ava Duvernay",157599216,7,22514174
555,"Jesse Dylan",157196929,3,52398976
556,"Fred Schepisi",157145710,13,12088132
557,"David Soren",156949130,3,52316377
558,"Michael B. Jordan",156248615,3,52082872
559,"John Boorman",156055154,14,11146797
560,"Stan Dragoti",155666897,5,31133379
561,"Barbra Streisand",155067309,3,51689103
562,"Franco Zeffirelli",154878920,15,10325261
563,"David Cronenberg",154349898,21,7349995
564,"Rob Bowman",154229828,4,38557457
565,"Scott Cooper",153817053,8,19227132
566,"Michael Dougherty",153225613,3,51075204
567,"Brian Fee",152901115,1,152901115
568,"Patrick Hughes",152826941,5,30565388
569,"Jason Moore",152045738,4,38011435
570,"Andrew Erwin",151603546,9,16844838
571,"James Fargo",151468727,3,50489576
572,"Ronny Yu",151313397,6,25218900
573,"Jeannot Szwarc",150645702,7,21520815
574,"Alexandre Aja",150639302,11,13694482
575,"Ted Demme",150569759,7,21509966
576,"Cecil B. DeMille",150200591,11,13654599
577,"Adam Robitel",150060839,4,37515210
578,"Neil LaBute",150027001,13,11540539
579,"Jeremiah Chechik",149873028,6,24978838
580,"Leigh Whannell",149817018,5,29963404
581,"Josh Boone",148806869,4,37201717
582,"Rob Zombie",148318805,11,13483528
583,"Spike Jonze",148159164,5,29631833
584,"Steve Pink",147802277,8,18475285
585,"Gina Prince-Bythewood",147168465,5,29433693
586,"Ralph Zondag",147063639,4,36765910
587,"Kunihiko Yuyama",146543713,17,8620218
588,"Michael Lehmann",146338730,9,16259859
589,"Jill Culton",145866649,2,72933325
590,"Nia DaCosta",145836803,6,24306134
591,"Stephen Gaghan",145818090,5,29163618
592,"Christopher Landon",145629053,8,18203632
593,"James B. Rogers",145096820,1,145096820
594,"Alessandro Carloni",143528619,1,143528619
595,"John Whitesell",143176473,7,20453782
596,"Jim Sheridan",142816272,9,15868475
597,"Jack Lee Thompson",142240067,14,10160005
598,"Michael Sarnoski",142238551,4,35559638
599,"Ted Kotcheff",142127096,10,14212710
600,"Eric Goldberg",141579773,1,141579773
601,"Martin Ritt",140619130,12,11718261
602,"Eduardo Sanchez",140583046,7,20083292
603,"Daniel Myrick",140539099,4,35134775
604,"Andrew Bergman",140346898,6,23391150
605,"Norton Virgien",139897257,2,69948629
606,"Kelly Marcel",139755882,2,69877941
607,"Tommy Chong",139663872,6,23277312
608,"Iain Softley",139603219,9,15511469
609,"Peter Lord",137845041,2,68922521
610,"Eric Leighton",137748063,1,137748063
611,"Emma Tammi",137304231,4,34326058
612,"Sidney Poitier",136781950,5,27356390
613,"Stephen Norrington",136607080,4,34151770
614,"David Green",136286894,5,27257379
615,"Forest Whitaker",136113271,3,45371090
616,"Barbet Schroeder",135877640,12,11323137
617,"Breck Eisner",135163174,3,45054391
618,"Martha Coolidge",134934517,13,10379578
619,"William Brent Bell",134706604,8,16838326
620,"Tobe Hooper",134656451,9,14961828
621,"Gene Stupnitsky",133592588,2,66796294
622,"Miguel Arteta",132411380,8,16551423
623,"Nick Castle",131980808,6,21996801
624,"David S. Ward",131823724,5,26364745
625,"Michael Sucsy",131126944,3,43708981
626,"Russell Mulcahy",131071018,14,9362216
627,"Scott Waugh",130291507,8,16286438
628,"Stephen Daldry",129945419,8,16243177
629,"Oz Perkins",129439141,7,18491306
630,"Aaron Seltzer",128825448,8,16103181
631,"Steve Rash",128719644,7,18388521
632,"Benjamin Renner",127990296,3,42663432
633,"Richard LaGravenese",127698636,8,15962330
634,"David McNally",127509485,2,63754743
635,"Brett Leonard",127274829,9,14141648
636,"Kevin Greutert",127011368,7,18144481
637,"Ronald Neame",126700000,9,14077778
638,"Zhang Yimou",126328036,23,5492523
639,"Lewis Teague",126272538,6,21045423
640,"Dallas Jenkins",125469261,11,11406296
641,"Carl Franklin",125096163,7,17870880
642,"Stephen Anderson",124515017,2,62257509
643,"Bill Duke",124124711,8,15515589
644,"Lewis Gilbert",123459300,5,24691860
645,"Kenny Ortega",122828066,8,15353508
646,"John Schultz",122369257,10,12236926
647,"Etan Cohen",120980196,2,60490098
648,"Josh Trank",120692723,4,30173181
649,"Simon Curtis",120184817,6,20030803
650,"Trish Sie",119801914,5,23960383
651,"Cody Cameron",119793567,1,119793567
652,"Kris Pearn",119793567,3,39931189
653,"Hoyt H. Yeatman",119436770,1,119436770
654,"Arthur Penn",119339299,9,13259922
655,"John A. Davis",119337901,3,39779300
656,"Luis Mandoki",119089702,7,17012815
657,"Jeff Rowe",118700272,3,39566757
658,"Angus Maclane",118307188,1,118307188
659,"Irwin Winkler",117668401,7,16809772
660,"Corin Hardy",117459086,4,29364772
661,"Ric Roman Waugh",117249518,10,11724952
662,"Clark Johnson",116954108,3,38984703
663,"Bennett Miller",116708086,4,29177022
664,"Angelina Jolie",116480232,6,19413372
665,"Lorene Scafaria",116309555,3,38769852
666,"Frederik Du Chau",116305627,3,38768542
667,"Noam Murro",116091340,2,58045670
668,"Hugh Hudson",115997356,7,16571051
669,"David S. Goyer",115637767,4,28909442
670,"Denzel Washington",115532367,4,28883092
671,"Sylvain White",115513807,5,23102761
672,"Robert Aldrich",115308075,15,7687205
673,"Peter Hastings",114959351,2,57479676
674,"Greg Berlanti",114733244,4,28683311
675,"Jim Sharman",114429919,2,57214960
676,"David Koepp",114038560,7,16291223
677,"Reinaldo Marcus Green",114025139,4,28506285
678,"Buck Henry",113998912,2,56999456
679,"Michael Hoffman",113916347,8,14239543
680,"John Erick Dowdle",113882653,6,18980442
681,"Michael Pressman",113658710,7,16236959
682,"Nicholas Meyer",113405916,6,18900986
683,"Stanley Kramer",1.13e+08,9,12555556
684,"Dexter Fletcher",112157549,5,22431510
685,"Billy Wilder",112145625,22,5097528
686,"Howard Hall",112080730,4,28020183
687,"James Bridges",111663264,5,22332653
688,"Michael Cimino",111368201,8,13921025
689,"Geoff Murphy",111354399,7,15907771
690,"Burr Steers",111058088,4,27764522
691,"Johannes Roberts",111000591,10,11100059
692,"Andrew Niccol",110858027,7,15836861
693,"Takaski Shimizu",110359362,2,55179681
694,"Rupert Wainwright",110126614,3,36708871
695,"Cornell John",109306210,1,109306210
696,"Sean McNamara",109270573,31,3524857
697,"Peter Billingsley",109226916,2,54613458
698,"Terence Young",108875671,9,12097297
699,"Alan Metter",108525676,5,21705135
700,"Oren Peli",107926366,2,53963183
701,"Dean Israelite",107712691,5,21542538
702,"Frank Miller",107667812,3,35889271
703,"Seth Rogen",107575377,2,53787689
704,"Evan Goldberg",107575377,2,53787689
705,"Clay Kaytis",107509366,4,26877342
706,"Fergal Reilly",107509366,1,107509366
707,"Bong Joon Ho",107245636,8,13405705
708,"Duncan Jones",107087680,5,21417536
709,"David Lynch",106686396,11,9698763
710,"David Lowery",106682246,8,13335281
711,"Stuart Rosenberg",106253908,6,17708985
712,"Tommy Wirkola",105840239,11,9621840
713,"Paul Michael Glaser",105782594,5,21156519
714,"Andrew Fleming",105766635,9,11751848
715,"Peter Hedges",105728259,5,21145652
716,"Jack Smight",105722763,9,11746974
717,"Anthony Leondis",105618115,2,52809058
718,"John Ford",105400000,27,3903704
719,"Aaron Nee",105364584,4,26341146
720,"Adam Nee",105364584,4,26341146
721,"Don Siegel",105203180,16,6575199
722,"Sofia Coppola",104480355,8,13060044
723,"Joshua Logan",104081356,5,20816271
724,"Tim Heitz",103974820,1,103974820
725,"Christopher Cain",103901633,8,12987704
726,"Steve Rodney McQueen",103231002,6,17205167
727,"James Ivory",103094259,20,5154713
728,"Danny Leiner",103063267,3,34354422
729,"Thomas Carter",103024926,4,25756232
730,"James Algar",102797000,2,51398500
731,"Sam Peckinpah",102392537,13,7876349
732,"Gene Saks",102368900,6,17061483
733,"Hayao Miyazaki",102015600,12,8501300
734,"Charles Stone III",101948559,7,14564080
735,"Bob Rafelson",101732502,8,12716563
736,"David E. Talbert",101566563,5,20313313
737,"Niki Caro",101029369,8,12628671
738,"Bo Welch",101018283,1,101018283
739,"Mervyn LeRoy",100598929,12,8383244
740,"Igor Kovalyov",100494685,1,100494685
741,"George Seaton",100489150,6,16748192
742,"Daniel Petrie",99903881,8,12487985
743,"Alejandro Amenábar",99677369,7,14239624
744,"Steven Quale",99158521,5,19831704
745,"Jerry Paris",98916205,2,49458103
746,"John R. Leonetti",98575318,4,24643830
747,"David Kellogg",98419385,2,49209693
748,"Sidney J. Furie",98374524,14,7026752
749,"Tamra Davis",97800083,7,13971440
750,"Nimrod Antal",97647417,6,16274570
751,"Pierre Perifel",97459240,2,48729620
752,"Michael Engler",97454519,2,48727260
753,"Michael Curtiz",97406086,28,3478789
754,"Hal Ashby",96883158,10,9688316
755,"Gary Goldman",96468617,4,24117154
756,"Bernardo Bertolucci",96369809,10,9636981
757,"James Gray",96339598,10,9633960
758,"William Dear",96233331,6,16038889
759,"Carroll Ballard",96131794,4,24032949
760,"Jared Bush",96093622,1,96093622
761,"Mike Figgis",95864045,14,6847432
762,"Fred Zinnemann",95828122,11,8711647
763,"Sharon Maguire",95640361,3,31880120
764,"Mark Rydell",95557455,7,13651065
765,"Joe Pytka",95434622,2,47717311
766,"Patrick Lussier",95267362,9,10585262
767,"Gerard Johnstone",95159005,3,31719668
768,"Beeban Kidron",94909936,5,18981987
769,"Stanley Donen",94682788,15,6312186
770,"Mike Flanagan",94421463,9,10491274
771,"Adam Stein",94408591,3,31469530
772,"Zach Lipovsky",94408591,5,18881718
773,"John Milius",93996657,7,13428094
774,"Franklin J. Schaffner",93898410,8,11737301
775,"Kasi Lemmons",93865688,7,13409384
776,"Paul Weiland",93790146,5,18758029
777,"Bille Woodruff",93683895,6,15613983
778,"Jared Stern",93657117,1,93657117
779,"Bob Fosse",93623112,5,18724622
780,"Henry Hathaway",93465925,14,6676138
781,"Brad Furman",93335147,6,15555858
782,"Peter Spierig",93246225,4,23311556
783,"Michael Spierig",93246225,4,23311556
784,"Tom Vaughan",92977226,5,18595445
785,"John Luessenhop",92536147,4,23134037
786,"Alex Kurtzman",92532917,2,46266459
787,"Richard Brooks",92007670,14,6571976
788,"Jean-Pierre Jeunet",91865735,8,11483217
789,"Tom Holland",91804798,6,15300800
790,"Michael Schultz",91767931,10,9176793
791,"Harold Cronk",91721368,7,13103053
792,"Jonathan Kaplan",91627305,6,15271218
793,"James Watkins",91314979,3,30438326
794,"Dennis Hopper",91147518,6,15191253
795,"Jeff Kanew",90774764,6,15129127
796,"Robert Moore",90732599,3,30244200
797,"Charles Herman-Wurmfeld",90639088,1,90639088
798,"Griffin Dunne",90562949,6,15093825
799,"King Vidor",90472006,12,7539334
800,"Klay Hall",90282580,1,90282580
801,"Callie Khouri",90255387,3,30085129
802,"Olivia Newman",90230760,2,45115380
803,"Robert Iscove",90187340,4,22546835
804,"Julie Anne Robinson",89364911,2,44682456
805,"Olivier Magaton",89256424,1,89256424
806,"Patricia Riggen",89132404,5,17826481
807,"Tod Williams",88688499,4,22172125
808,"Bruce Hendricks",88641696,3,29547232
809,"Luca Guadagnino",88438244,17,5202250
810,"Martin McDonagh",87920880,5,17584176
811,"Ryan Murphy",87434010,5,17486802
812,"Ted Post",87269482,8,10908685
813,"Deon Taylor",87229567,11,7929961
814,"David Breashears",87178599,2,43589300
815,"Stephen Judson",87178599,1,87178599
816,"Richard Rich",87024021,12,7252002
817,"Scott Stewart",86723373,4,21680843
818,"Jessie Nelson",86720122,3,28906707
819,"Jim Freeman",86600000,1,86600000
820,"Ericson Core",86589433,3,28863144
821,"Alastair Fothergill",86456681,11,7859698
822,"Bill Holderman",86147861,2,43073931
823,"Phil Joanou",86134654,7,12304951
824,"Ben Wheatley",86027141,12,7168928
825,"Roland Joffe",85864626,13,6604971
826,"Stanley Tong",85747543,9,9527505
827,"Pete Travis",85690665,4,21422666
828,"Yorgos Lanthimos",85463174,9,9495908
829,"Stephen Hillenburg",85416609,1,85416609
830,"Trey Parker",85394461,6,14232410
831,"Aaron Blaise",85336277,1,85336277
832,"Robert Walker",85336277,1,85336277
833,"Randa Haines",85273914,3,28424638
834,"Mike Judge",85213450,4,21303363
835,"Tom McCarthy",84929170,8,10616146
836,"David Wain",84881212,5,16976242
837,"Haruo Sotozaki",84875126,12,7072927
838,"Luis Llosa",84593560,2,42296780
839,"Jim Henson",84513169,3,28171056
840,"Ben Sharpsteen",84300000,2,42150000
841,"Paul Haggis",84279848,5,16855970
842,"Cathy Yan",84158461,4,21039615
843,"Alan Alda",84155103,4,21038776
844,"Todd Strauss-Schulson",83852218,4,20963055
845,"Ben Stassen",83838363,13,6449105
846,"Richard Curtis",83576814,4,20894204
847,"James L. Conway",83500000,4,20875000
848,"Jodie Foster",83470751,4,20867688
849,"Craig Brewer",83402421,6,13900404
850,"Babak Najafi",83392898,3,27797633
851,"Simon J. Smith",83350911,1,83350911
852,"Mira Nair",83117794,10,8311779
853,"Ernest Dickerson",83083032,7,11869005
854,"Richard Lester",83055150,8,10381894
855,"John Stockwell",82893197,12,6907766
856,"André Øvredal",82837699,6,13806283
857,"Buddy Van Horn",82830828,2,41415414
858,"Mathieu Kassovitz",82753188,4,20688297
859,"Mike Binder",82588182,8,10323523
860,"Kevin MacDonald",82443001,10,8244300
861,"Brian Henson",82413350,3,27471117
862,"Todd Michael Amateau",82234139,1,82234139
863,"Gabor Csupo",82234139,1,82234139
864,"Patrick Wilson",82156962,1,82156962
865,"Kevin Hooks",81798476,5,16359695
866,"Steve Gordon",81464486,1,81464486
867,"Daniel Scheinert",81413784,4,20353446
868,"Daniel Kwan",81379928,3,27126643
869,"Burt Reynolds",81303636,4,20325909
870,"Christian Gudegast",80962638,2,40481319
871,"Richard Loncraine",80536019,10,8053602
872,"Mary Lambert",80479130,6,13413188
873,"Simon Kinberg",80416429,2,40208215
874,"Florian Henckel von Donnersmarck",80219561,3,26739854
875,"James Frawley",79990306,4,19997577
876,"Jean-Marc Vallee",79733386,5,15946677
877,"George A. Romero",79710698,17,4688865
878,"Ari Aster",79672381,4,19918095
879,"John Polson",79665481,2,39832741
880,"Bronwen Hughes",79527848,3,26509283
881,"Ken Annakin",79494197,3,26498066
882,"Joe Camp",79063152,5,15812630
883,"Victor Salva",78656804,5,15731361
884,"Stewart Raffill",78630310,8,9828789
885,"Larry Peerce",78516151,7,11216593
886,"Howard Hawks",78485077,20,3924254
887,"Robert Townsend",78372788,9,8708088
888,"Zach Braff",77602621,4,19400655
889,"Mark L. Lester",77572582,10,7757258
890,"Joseph Zito",77521547,4,19380387
891,"Luc Jacquet",77451698,5,15490340
892,"Mark Linfield",77409357,5,15481871
893,"Robert De Niro",77148354,2,38574177
894,"Sanaa Hamri",77098895,4,19274724
895,"Dennie Gordon",77096564,4,19274141
896,"Tony Bill",77017552,7,11002507
897,"John R. Cherry, III",76741060,3,25580353
898,"Paul Demeyer",76501438,1,76501438
899,"Stig Bergqvist",76501438,1,76501438
900,"John Crowley",76123146,5,15224629
901,"Hideo Nakata",75941727,16,4746358
902,"David Carson",75671262,3,25223754
903,"Chris Rock",75665378,3,25221793
904,"Valerie Faris",75069730,3,25023243
905,"Jonathan Dayton",75069730,3,25023243
906,"Stefen Fangmeier",75030163,1,75030163
907,"Reginald Hudlin",74812625,12,6234385
908,"Paul McGuigan",74537910,8,9317239
909,"Mark Pellington",74508867,10,7450887
910,"Gene Wilder",74341544,5,14868309
911,"Gary Dauberman",74152591,2,37076296
912,"George Scribner",74151346,1,74151346
913,"Albert Magnoli",74106633,2,37053317
914,"Tom Tykwer",73951079,11,6722825
915,"Pedro Almodovar",73932504,27,2738241
916,"Bryan Spicer",73874414,3,24624805
917,"Costa-Gavras",73331064,12,6110922
918,"Lorna Cook",73215310,1,73215310
919,"George Stevens",73151952,11,6650177
920,"Mario Van Peebles",73142885,12,6095240
921,"Doug Sweetland",72679278,1,72679278
922,"Chris Butler",72652590,2,36326295
923,"Terry Zwigoff",72616397,4,18154099
924,"Samantha Jayne",72581770,1,72581770
925,"Arturo Perez",72581770,1,72581770
926,"Angel Manuel Soto",72541501,3,24180500
927,"Marco Brambilla",72407200,2,36203600
928,"Andrei Konchalovsky",72309204,5,14461841
929,"Dan Trachtenberg",72082999,4,18020750
930,"Justin Simien",72057441,3,24019147
931,"Mike Tollin",72027629,2,36013815
932,"Steve Beck",71981451,2,35990726
933,"Marielle Heller",71977303,4,17994326
934,"Sean Cunningham",71750222,4,17937556
935,"George Nolfi",71719411,4,17929853
936,"Kevin Bray",71696755,2,35848378
937,"Alfonso Arau",71664677,2,35832339
938,"Gil Junger",71600772,7,10228682
939,"Steven Zaillian",71197832,3,23732611
940,"Frank Pierson",71129898,2,35564949
941,"Rick Rosenthal",71091553,8,8886444
942,"Kieth Merrill",70800000,3,23600000
943,"Gilbert Lewis",70300000,1,70300000
944,"John Flynn",70051158,6,11675193
945,"Mike ""Mouse"" McCoy",70012847,1,70012847
946,"Graeme Ferguson",7e+07,1,7e+07
947,"Andrew V. McLaglen",69787676,13,5368283
948,"Paul Brickman",69591795,2,34795898
949,"David Mirkin",69569377,2,34784689
950,"Gerard McMurray",69488745,2,34744373
951,"Sarah Smith",69471739,2,34735870
952,"Terrence Malick",69189848,11,6289986
953,"Nima Nourizadeh",69171850,2,34585925
954,"Peter Howitt",68738240,5,13747648
955,"John Dahl",68509788,8,8563724
956,"Ash Brannon",68288240,2,34144120
957,"Steve Shill",68261644,1,68261644
958,"Dinesh D'Souza",68245767,6,11374295
959,"Camille Delamarre",68141561,4,17035390
960,"Olivia Wilde",67990365,3,22663455
961,"Angela Robinson",67692837,3,22564279
962,"Lee Cronin",67377444,3,22459148
963,"Richard Pearce",66788289,6,11131382
964,"Nick Bruno",66757013,2,33378507
965,"Troy Quane",66757013,2,33378507
966,"Chris Noonan",66664515,2,33332258
967,"Shekhar Kapur",66661940,8,8332743
968,"Nigel Cole",66138388,6,11023065
969,"Greg Jacobs",66013057,2,33006529
970,"Matthew Robbins",65556816,5,13111363
971,"Gary Nelson",65535600,3,21845200
972,"Joseph L. Mankiewicz",65400000,6,10900000
973,"Damien Leone",65283519,5,13056704
974,"Andrew Douglas",65233369,2,32616685
975,"Ted Berman",65187923,2,32593962
976,"David Newman",65028687,1,65028687
977,"Keith Merryman",65028687,1,65028687
978,"Harve Foster",6.5e+07,1,6.5e+07
979,"John Weiley",6.5e+07,3,21666667
980,"Brad Anderson",64662298,14,4618736
981,"Richard Franklin",64516233,5,12903247
982,"Jeremy Garelick",64460211,5,12892042
983,"Bruce Malmuth",64296891,3,21432297
984,"Peter Lepeniotis",64251538,4,16062885
985,"Kevin Munroe",64149046,4,16037262
986,"John Irvin",64110994,11,5828272
987,"Mike Thurmeier",64063008,1,64063008
988,"Fawn Veerasunthorn",63973821,1,63973821
989,"Mark Neveldine",63842327,6,10640388
990,"Gary David Goldberg",63632878,2,31816439
991,"Charles Crichton",63509361,3,21169787
992,"Doug McHenry",63474907,3,21158302
993,"Samuel Bayer",63075011,1,63075011
994,"Stuart Gillard",62777798,6,10462966
995,"Preston A. Whitmore II",62469109,6,10411518
996,"Frank Perry",62459512,6,10409919
997,"Mans Marlind",62321039,3,20773680
998,"Björn Stein",62321039,2,31160520
999,"Brian Gibson",62309783,3,20769928
NA,"Tom Mankiewicz",62142853,2,31071427
